match_no,player_a,odds_a,player_b,odds_b
1,Alex De Minaur,-400,Denis Shapovalov,300
2,Brandon Nakashima,-345,Ignacio Buse,275
3,Adrian Mannarino,-120,Arthur Fery,110
4,Jenson Brooksby,150,Francisco Cerundolo,-182
5,Tommy Paul,-338,Botic van de Zandschulp,262
6,Corentin Moutet,133,Alejandro Davidovich Fokina,-162
7,Hamad Medjedovic,147,Ugo Humbert,-181
8,Rinky Hijikata,244,Jiri Lehecka,-313
