match_no,player_a,odds_a,player_b,odds_b
1,Alexander Zverev,-600,Raphael Collignon,425
2,Ben Shelton,-105,Taylor Fritz,-116
3,Daniel Altmaier,476,Daniil Medvedev,-690
4,Frances Tiafoe,148,Felix Auger-Aliassime,-182
