match_no,player_a,odds_a,player_b,odds_b
1,Matteo Berrettini,-181,Matteo Arnaldi,147
2,Felix Auger Aliassime,-107,Flavio Cobolli,-113
3,Jakub Mensik,178,Joao Fonseca,-224
4,Rafael Jodar,266,Alexander Zverev,-344
