match_no,player_a,odds_a,player_b,odds_b
1,Alexander Zverev,-909,Yannick Hanfmann,600
2,Raphael Collignon,-125,Mattia Bellucci,114
3,Ben Shelton,-333,Ethan Quinn,292
4,Fabian Marozsan,300,Taylor Fritz,-400
5,Hubert Hurkacz,-400,Daniel Altmaier,300
6,Terence Atmane,415,Daniil Medvedev,-588
7,Frances Tiafoe,-233,Sho Shimabukuro,200
8,Learner Tien,120,Felix Auger-Aliassime,-137
