match_no,player_a,odds_a,player_b,odds_b
1,Alex De Minaur,-282,Brandon Nakashima,223
2,Arthur Fery,144,Francisco Cerundolo,-177
3,Tommy Paul,-272,Alejandro Davidovich Fokina,215
4,Ugo Humbert,-204,Rinky Hijikata,175
