match_no,player_a,odds_a,player_b,odds_b
1,Juan Manuel Cerundolo,-149,Martin Landaluce,129
2,Matteo Berrettini,-208,Francisco Comesana,175
3,Jaime Faria,138,Frances Tiafoe,-175
4,Matteo Arnaldi,129,Raphael Collignon,-143
5,Felix Auger Aliassime,-227,Brandon Nakashima,175
6,Moise Kouame,374,Alejandro Tabilo,-500
7,Flavio Cobolli,-208,Learner Tien,175
8,Francisco Cerundolo,-909,Zachary Svajda,680
9,Alex De Minaur,-400,Jakub Mensik,300
10,Nuno Borges,240,Andrey Rublev,-294
11,Casper Ruud,-303,Tommy Paul,240
12,Joao Fonseca,175,Novak Djokovic,-217
13,Alex Michelsen,400,Rafael Jodar,-500
14,Thiago Agustin Tirante,-250,Pablo Carreno Busta,200
15,Karen Khachanov,-278,Jesper de Jong,220
16,Quentin Halys,1000,Alexander Zverev,-2000
