match_no,player_a,odds_a,player_b,odds_b
1,Juan Manuel Cerundolo,136,Matteo Berrettini,-173
2,Frances Tiafoe,-128,Matteo Arnaldi,102
3,Felix Auger Aliassime,-184,Alejandro Tabilo,144
4,Flavio Cobolli,-750,Zachary Svajda,477
5,Jakub Mensik,105,Andrey Rublev,-132
6,Casper Ruud,-186,Joao Fonseca,146
7,Rafael Jodar,-434,Pablo Carreno Busta,311
8,Jesper de Jong,1020,Alexander Zverev,-2600
