match_no,date,round,player_a,odds_a,player_b,odds_b
1,2026-08-15,R64,Alexander Zverev,-445,Cameron Norrie,332
2,2026-08-15,R64,Terence Atmane,-181,Tomas Martin Etcheverry,148
3,2026-08-15,R64,Tommy Paul,-120,Hubert Hurkacz,-102
4,2026-08-15,R64,Adolfo Daniel Vallejo,176,Valentin Vacherot,-218
5,2026-08-15,R64,Rafael Jodar,-258,Denis Shapovalov,205
6,2026-08-15,R64,Jan-Lennard Struff,153,Alejandro Tabilo,-188
7,2026-08-15,R64,Alexander Blockx,-143,Mariano Navone,117
8,2026-08-15,R64,Miomir Kecmanovic,107,Flavio Cobolli,-130
9,2026-08-15,R64,Novak Djokovic,-374,Thiago Agustin Tirante,286
10,2026-08-15,R64,Martin Landaluce,-136,Matteo Arnaldi,112
11,2026-08-15,R64,Luciano Darderi,-185,Rinky Hijikata,150
12,2026-08-15,R64,Mattia Bellucci,275,Jakub Mensik,-358
13,2026-08-15,R64,Jiri Lehecka,-187,Matteo Berrettini,152
14,2026-08-15,R64,Yannick Hanfmann,289,Arthur Fils,-379
15,2026-08-15,R64,Arthur Fery,-116,James Duckworth,-105
16,2026-08-15,R64,Quentin Halys,231,Alex De Minaur,-294
17,2026-08-16,R64,Taylor Fritz,-165,Alex Michelsen,135
18,2026-08-16,R64,Daniel Merida,-119,Zizou Bergs,-102
19,2026-08-16,R64,Joao Fonseca,-301,Botic van de Zandschulp,236
20,2026-08-16,R64,Christopher O'Connell,245,Casper Ruud,-313
21,2026-08-16,R64,Andrey Rublev,-214,Pablo Carreno Busta,173
22,2026-08-16,R64,Nuno Borges,-122,Francisco Cerundolo,100
23,2026-08-16,R64,Brandon Nakashima,-374,Aleksandar Kovacevic,286
24,2026-08-16,R64,Marco Trungelliti,492,Daniil Medvedev,-730
25,2026-08-16,R64,Ben Shelton,-600,Jaime Faria,425
26,2026-08-16,R64,Adam Walton,-184,Ignacio Buse,150
27,2026-08-16,R64,Ugo Humbert,-120,Michael Zheng,-102
28,2026-08-16,R64,Daniel Altmaier,298,Lorenzo Musetti,-393
29,2026-08-16,R64,Learner Tien,-316,Sebastian Baez,246
30,2026-08-16,R64,Lorenzo Sonego,160,Frances Tiafoe,-197
31,2026-08-16,R64,Arthur Rinderknech,-186,Juan Manuel Cerundolo,151
32,2026-08-16,R64,Stefanos Tsitsipas,116,Felix Auger Aliassime,-142
