match_no,date,round,player_a,odds_a,player_b,odds_b
1,2026-08-07,R32,Tallon Griekspoor,-147,Matteo Arnaldi,129
2,2026-08-07,R32,Daniel Merida,192,Alex Michelsen,-227
3,2026-08-07,R32,Learner Tien,145,Tommy Paul,-149
4,2026-08-07,R32,Alexei Popyrin,-110,Thiago Agustin Tirante,-104
5,2026-08-07,R32,Botic van de Zandschulp,202,Hubert Hurkacz,-227
6,2026-08-07,R32,Terence Atmane,202,Jakub Mensik,-250
7,2026-08-07,R32,Casper Ruud,121,Joao Fonseca,-149
8,2026-08-07,R32,Zizou Bergs,224,Ben Shelton,-278
9,2026-08-06,R32,Jiri Lehecka,-189,Alexander Blockx,158
10,2026-08-06,R32,Rafael Jodar,-137,Lorenzo Musetti,112
11,2026-08-06,R32,Mariano Navone,250,Arthur Fils,-312
12,2026-08-06,R32,Cameron Norrie,200,Alex De Minaur,-222
13,2026-08-06,R32,Yannick Hanfmann,166,Nuno Borges,-189
14,2026-08-06,R32,Luciano Darderi,102,Juncheng Shang,-125
15,2026-08-06,R32,Frances Tiafoe,-189,Arthur Rinderknech,163
16,2026-08-06,R32,Brandon Nakashima,-303,Titouan Droguet,240
