match_no,date,round,player_a,odds_a,player_b,odds_b
1,2026-08-09,R16,Tallon Griekspoor,-125,Daniel Merida,100
2,2026-08-09,R16,Learner Tien,-240,Thiago Agustin Tirante,190
3,2026-08-09,R16,Botic van de Zandschulp,230,Jakub Mensik,-295
4,2026-08-09,R16,Joao Fonseca,100,Ben Shelton,-125
5,2026-08-08,R16,Jiri Lehecka,100,Rafael Jodar,-125
6,2026-08-08,R16,Arthur Fils,-265,Cameron Norrie,210
7,2026-08-08,R16,Nuno Borges,-175,Luciano Darderi,140
8,2026-08-08,R16,Arthur Rinderknech,175,Brandon Nakashima,-220
