match_no,player_a,odds_a,player_b,odds_b
1,Jannik Sinner,-5000,Jenson Brooksby,1700
2,Rafael Jodar,-323,Shintaro Mochizuki,250
3,Hubert Hurkacz,163,Tommy Paul,-200
4,Jan-Lennard Struff,400,Daniil Medvedev,-588
5,Felix Auger-Aliassime,-588,Michael Zheng,400
6,Alejandro Davidovich Fokina,-333,Marton Fucsovics,250
7,Roman Safiullin,250,Joao Fonseca,-312
8,Arthur Rinderknech,610,Novak Djokovic,-1000
9,Alex de Minaur,-588,Zachary Svajda,400
10,Karen Khachanov,-118,Flavio Cobolli,100
11,Grigor Dimitrov,112,Matteo Berrettini,-125
12,Zizou Bergs,-137,Arthur Fery,120
13,Taylor Fritz,-667,Lorenzo Sonego,500
14,Frances Tiafoe,-137,Alexander Bublik,110
15,Jiri Lehecka,-303,Jaume Munar,245
16,Marcos Giron,900,Alexander Zverev,-1667
