match_no,player_a,odds_a,player_b,odds_b
1,Jannik Sinner,-2500,Jan-Lennard Struff,1280
2,Felix Auger-Aliassime,150,Novak Djokovic,-179
3,Flavio Cobolli,-270,Arthur Fery,220
4,Taylor Fritz,,,
