match_no,player_a,odds_a,player_b,odds_b
1,,,Cruz Hewitt,
2,Brandon Nakashima,110,Jakub Mensik,-132
3,Taylor Fritz,-333,Kamil Majchrzak,281
4,Alex Michelsen,-333,Adrian Mannarino,261
5,Rafael Jodar,-500,Kei Nishikori,351
6,Aleksandar Vukic,220,Lorenzo Musetti,-270
7,Terence Atmane,-122,Alejandro Tabilo,100
8,Ugo Humbert,165,Ben Shelton,-189
