feature,importance
diff_wr_Hard,0.13315624373793847
rank_diff,0.08524546898264694
diff_wr_Clay,0.08056457873684804
diff_peak_elo,0.07350486284838183
elo_diff,0.0724671635803432
diff_win_rate,0.07145535149294716
diff_current_elo,0.07099769760191485
selo_diff,0.07006318791666706
diff_avg_rest_days,0.06099216957424945
diff_wr_Grass,0.0494646392682982
diff_matches_28d,0.03505405705814972
diff_rolling_10_winrate,0.02970008358470924
diff_form_divergence,0.02489711840116151
diff_streak,0.023505590188825882
diff_rolling_5_winrate,0.020411396362297503
surface_Hard,0.014768172817683247
surface_Clay,0.014750143910589587
diff_h2h_wr_prior,0.01084277135308896
round_R32,0.007067973233233378
tourney_level_A,0.006581567619355027
surface_Grass,0.005782718681783892
round_R16,0.005210522034036455
tourney_level_M,0.004820675046846668
round_R64,0.003663861885040276
round_QF,0.0032785947249378837
tourney_level_G,0.0031196111066213255
best_of_3,0.0030645532754671433
round_R128,0.003048161526298172
best_of_5,0.003042940799447882
round_RR,0.0028562548389073775
tourney_level_D,0.0024485336498616993
round_SF,0.002045660052661659
round_F,0.0013662991698987837
surface_Other,0.00046968654186679853
tourney_level_F,0.00023718247526924706
tourney_level_O,5.450592172551262e-05
round_BR,0.0
