match_no,date,round,player_a,odds_a,player_b,odds_b
1,2026-08-19,R16,Alexander Zverev,-281,Tommy Paul,222
2,2026-08-19,R16,Rafael Jodar,-324,Flavio Cobolli,252
3,2026-08-19,R16,Thiago Agustin Tirante,168,Jakub Mensik,-208
4,2026-08-19,R16,Arthur Fils,-172,Alex De Minaur,140
5,2026-08-19,R16,Taylor Fritz,-1240,Christopher O'Connell,720
6,2026-08-19,R16,Nuno Borges,132,Brandon Nakashima,-161
7,2026-08-19,R16,Jaime Faria,223,Lorenzo Musetti,-282
8,2026-08-19,R16,Frances Tiafoe,179,Felix Auger Aliassime,-222
