match_no,date,round,player_a,odds_a,player_b,odds_b
1,2026-09-07,R16,Alexander Zverev,-1380,Luciano Darderi,720
2,2026-09-07,R16,Arthur Gea,136,Botic van de Zandschulp,-173
3,2026-09-07,R16,Karen Khachanov,149,Learner Tien,-191
4,2026-09-07,R16,Francisco Cerundolo,137,Alexander Blockx,-174
5,2026-09-06,R16,Daniil Medvedev,-165,Frances Tiafoe,130
6,2026-09-06,R16,Alex Michelsen,-308,Tomas Martin Etcheverry,232
7,2026-09-06,R16,Ben Shelton,-266,Stefanos Tsitsipas,203
8,2026-09-06,R16,Tommy Paul,326,Carlos Alcaraz,-459
