match_no,player_a,odds_a,player_b,odds_b
1,Jannik Sinner,-3333,Shintaro Mochizuki,1875
2,Hubert Hurkacz,-303,Jan-Lennard Struff,266
3,Felix Auger-Aliassime,-196,Alejandro Davidovich Fokina,174
4,Roman Safiullin,437,Novak Djokovic,-500
5,Alex de Minaur,-370,Flavio Cobolli,323
6,Grigor Dimitrov,-303,Arthur Fery,227
7,Taylor Fritz,-175,Alexander Bublik,136
8,Jiri Lehecka,275,Alexander Zverev,-312
