match_no,date,round,player_a,odds_a,player_b,odds_b
1,2026-09-09,QF,Alexander Zverev,-810,Botic van de Zandschulp,536
2,2026-09-09,QF,Karen Khachanov,-159,Alexander Blockx,130
3,2026-09-08,QF,Frances Tiafoe,-163,Alex Michelsen,133
4,2026-09-08,QF,Ben Shelton,317,Carlos Alcaraz,-421
