match_no,player_a,odds_a,player_b,odds_b
1,Alex de Minaur,-175,Brandon Nakashima,150
2,Taylor Fritz,-227,Alex Michelsen,196
3,Rafael Jodar,-200,Lorenzo Musetti,163
4,Alejandro Tabilo,250,Ben Shelton,-312
