match_no,player_a,odds_a,player_b,odds_b
1,Jannik Sinner,-3333,Miomir Kecmanovic,1720
2,Nuno Borges,-455,Tristan Boyer,333
3,Aleksandar Vukic,175,Jenson Brooksby,-222
4,Emilio Nava,138,Ignacio Buse,-159
5,Rafael Jodar,-500,Felix Gill,417
6,Denis Shapovalov,-227,Pablo Carreno Busta,200
7,Shintaro Mochizuki,-217,Max Basing,200
8,Ethan Quinn,-141,Luciano Darderi,138
9,Casper Ruud,175,Hubert Hurkacz,-222
10,Hamad Medjedovic,-227,Sebastian Ofner,175
11,Soonwoo Kwon,175,Martin Landaluce,-196
12,Alexandre Muller,2000,Tommy Paul,-10000
13,Brandon Nakashima,-556,Jack Pinnington Jones,400
14,Jan-Lennard Struff,-385,Sebastian Baez,300
15,Camilo Ugo Carabelli,-125,Daniel Merida,114
16,Marin Cilic,280,Daniil Medvedev,-345
17,Felix Auger-Aliassime,-2000,Aleksandr Shevchenko,1120
18,Adam Walton,125,Dino Prizmic,-137
19,Adolfo Daniel Vallejo,-159,Nicolas Mejia,129
20,Michael Zheng,165,Cameron Norrie,-200
21,Alejandro Davidovich Fokina,-435,Juan Manuel Cerundolo,333
22,Thiago Agustin Tirante,275,Fabian Marozsan,-345
23,Luca Van Assche,249,Marton Fucsovics,-278
24,Dalibor Svrcina,610,Learner Tien,-714
25,Andrey Rublev,-250,Roman Safiullin,210
26,Aleksandar Kovacevic,138,Botic van de Zandschulp,-172
27,Jesper de Jong,200,Rinky Hijikata,-189
28,Roberto Bautista Agut,400,Joao Fonseca,-556
29,Arthur Rinderknech,-161,Oliver Tarvet,131
30,Marco Trungelliti,400,Martin Damm,-588
31,Hugo Gaston,208,Stefanos Tsitsipas,-250
32,Yibing Wu,1460,Novak Djokovic,-2500
33,Alex de Minaur,-3333,Roman Andres Burruchaga,1400
34,Adrian Mannarino,-278,Titouan Droguet,220
35,Mattia Bellucci,-182,Zachary Svajda,175
36,Kamil Majchrzak,-175,Alejandro Tabilo,146
37,Karen Khachanov,-500,Billy Harris,350
38,Yannick Hanfmann,129,Giovanni Mpetshi Perricard,-152
39,Tallon Griekspoor,-250,James Duckworth,209
40,Mariano Navone,529,Flavio Cobolli,-588
41,Jakub Mensik,-303,Toby Samuel,256
42,Dane Sweeny,260,Grigor Dimitrov,-333
43,Stan Wawrinka,300,Matteo Berrettini,-370
44,Raphael Collignon,175,Arthur Fils,-227
45,Ugo Humbert,-185,Zizou Bergs,150
46,Sho Shimabukuro,-137,Jaime Faria,124
47,Damir Dzumhur,275,Arthur Fery,-294
48,Otto Virtanen,258,Ben Shelton,-333
49,Taylor Fritz,-175,Jack Draper,161
50,Patrick Kypson,240,Mackenzie McDonald,-222
51,Benjamin Bonzi,120,Gabriel Diallo,-147
52,Lorenzo Sonego,116,Tomas Martin Etcheverry,-137
53,Frances Tiafoe,-400,Terence Atmane,333
54,Vit Kopriva,-137,Jan Choinski,117
55,Kyrian Jacquet,-182,Vilius Gaubas,163
56,Thanasi Kokkinakis,247,Alexander Bublik,-303
57,Jiri Lehecka,-345,Alexei Popyrin,308
58,Alex Molcan,163,Daniel Altmaier,-200
59,Alex Michelsen,-123,Jacob Fearnley,100
60,Jaume Munar,240,Francisco Cerundolo,-303
61,Matteo Arnaldi,100,Quentin Halys,-111
62,Corentin Moutet,114,Marcos Giron,-137
63,Valentin Royer,-137,Harry Wendelken,110
64,Alexander Blockx,990,Alexander Zverev,-1429
