match_no,date,round,player_a,odds_a,player_b,odds_b
1,2026-08-11,QF,Daniel Merida,171,Learner Tien,-212
2,2026-08-11,QF,Jakub Mensik,116,Ben Shelton,-141
3,2026-08-10,QF,Rafael Jodar,-130,Arthur Fils,106
4,2026-08-10,QF,Luciano Darderi,192,Brandon Nakashima,-239
