match_no,date,round,player_a,odds_a,player_b,odds_b
1,2026-09-05,R32,Alexander Zverev,-770,Alejandro Tabilo,486
2,2026-09-05,R32,Luciano Darderi,-429,Dane Sweeny,308
3,2026-09-05,R32,Michael Zheng,-146,Arthur Gea,115
4,2026-09-05,R32,Zizou Bergs,184,Botic van de Zandschulp,-239
5,2026-09-05,R32,Karen Khachanov,-229,Benjamin Bonzi,177
6,2026-09-05,R32,Jakub Mensik,108,Learner Tien,-137
7,2026-09-05,R32,Taylor Fritz,-680,Francisco Cerundolo,446
8,2026-09-05,R32,Alexander Blockx,-109,Flavio Cobolli,-116
9,2026-09-04,R32,Daniil Medvedev,-301,Arthur Rinderknech,227
10,2026-09-04,R32,Valentin Vacherot,153,Frances Tiafoe,-195
11,2026-09-04,R32,Alex Michelsen,-195,Daniel Merida,152
12,2026-09-04,R32,Tomas Martin Etcheverry,-120,Mariano Navone,-105
13,2026-09-04,R32,Ben Shelton,-385,Denis Shapovalov,281
14,2026-09-04,R32,Jiri Lehecka,-194,Stefanos Tsitsipas,151
15,2026-09-04,R32,Alexander Bublik,139,Tommy Paul,-176
16,2026-09-04,R32,Yibing Wu,860,Carlos Alcaraz,-1900
