match_no,date,round,player_a,odds_a,player_b,odds_b
1,2026-08-20,QF,Tommy Paul,-159,Flavio Cobolli,130
2,2026-08-20,QF,Thiago Agustin Tirante,285,Arthur Fils,-372
3,2026-08-21,QF,Taylor Fritz,-182,Brandon Nakashima,148
4,2026-08-21,QF,Lorenzo Musetti,-117,Frances Tiafoe,-104
